Title,Winner,Loser,Draw,Method,Round,Time,Time Format,Referee,Details,Red Fighter,Red KD,Red Sig. str.,Red Sig. str. %,Red Total str.,Red Td,Red Td %,Red Sub. att,Red Rev.,Red Ctrl,Red Sig. str,Red Head,Red Body,Red Leg,Red Distance,Red Clinch,Red Ground,Blue Fighter,Blue KD,Blue Sig. str.,Blue Sig. str. %,Blue Total str.,Blue Td,Blue Td %,Blue Sub. att,Blue Rev.,Blue Ctrl,Blue Sig. str,Blue Head,Blue Body,Blue Leg,Blue Distance,Blue Clinch,Blue Ground
Lightweight Bout,Alexander Hernandez,Jim Miller,False,Decision - Unanimous,3,5:00,,Herb Dean,,Jim Miller,0,67 of 185,36%,68 of 186,0 of 1,0%,1,0,0:40,67 of 185,32 of 137,16 of 25,19 of 23,64 of 182,3 of 3,0 of 0,Alexander Hernandez,0,108 of 234,46%,111 of 238,0 of 1,0%,0,1,0:23,108 of 234,62 of 169,39 of 50,7 of 15,98 of 223,3 of 3,7 of 8
Lightweight Bout,Nazim Sadykhov,Evan Elder,False,TKO - Doctor's Stoppage,3,0:38,,Mark Smith,,Nazim Sadykhov,0,64 of 132,48%,71 of 141,1 of 1,100%,0,0,0:19,64 of 132,38 of 103,19 of 20,7 of 9,54 of 118,10 of 14,0 of 0,Evan Elder,1,70 of 142,49%,84 of 158,1 of 6,16%,0,0,1:33,70 of 142,25 of 87,36 of 46,9 of 9,60 of 129,10 of 13,0 of 0
Women's Bantamweight Bout,Mayra Bueno Silva,Lina Lansberg,False,Submission,2,4:45,,Jacob Montalvo,,Lina Lansberg,0,25 of 50,50%,40 of 72,0 of 0,---,0,1,0:21,25 of 50,16 of 41,7 of 7,2 of 2,18 of 43,7 of 7,0 of 0,Mayra Bueno Silva,0,39 of 69,56%,58 of 90,2 of 3,66%,1,0,5:09,39 of 69,13 of 38,17 of 20,9 of 11,21 of 47,11 of 13,7 of 9
Featherweight Bout,Jamall Emmers,Khusein Askhabov,False,Decision - Unanimous,3,5:00,,Chris Tognoni,,Jamall Emmers,0,62 of 144,43%,79 of 170,1 of 3,33%,0,0,4:45,62 of 144,27 of 82,18 of 26,17 of 36,44 of 119,10 of 12,8 of 13,Khusein Askhabov,0,30 of 114,26%,40 of 127,0 of 6,0%,0,2,0:58,30 of 114,15 of 88,7 of 9,8 of 17,25 of 104,5 of 10,0 of 0
Light Heavyweight Bout,Philipe Lins,Ovince Saint Preux,False,KO/TKO,1,0:49,,Mark Smith,,Ovince Saint Preux,0,1 of 3,33%,1 of 3,0 of 0,---,0,0,0:00,1 of 3,0 of 1,0 of 0,1 of 2,1 of 3,0 of 0,0 of 0,Philipe Lins,1,18 of 44,40%,18 of 44,0 of 0,---,0,0,0:02,18 of 44,17 of 43,1 of 1,0 of 0,13 of 38,4 of 5,1 of 1
Welterweight Bout,AJ Fletcher,Themba Gorimbo,False,Submission,2,1:37,,Jacob Montalvo,,AJ Fletcher,0,7 of 17,41%,23 of 35,0 of 0,---,1,1,3:21,7 of 17,6 of 13,0 of 1,1 of 3,1 of 7,1 of 1,5 of 9,Themba Gorimbo,0,6 of 10,60%,15 of 26,2 of 2,100%,0,1,2:00,6 of 10,2 of 6,3 of 3,1 of 1,5 of 9,1 of 1,0 of 0
Flyweight Bout,Clayton Carpenter,Juancamilo Ronderos,False,Submission,1,3:13,,Chris Tognoni,,Clayton Carpenter,0,3 of 5,60%,3 of 5,0 of 0,---,3,1,1:19,3 of 5,2 of 4,1 of 1,0 of 0,3 of 5,0 of 0,0 of 0,Juancamilo Ronderos,0,1 of 7,14%,46 of 56,1 of 1,100%,0,0,1:22,1 of 7,0 of 6,0 of 0,1 of 1,1 of 4,0 of 0,0 of 3
UFC Lightweight Title Bout,Islam Makhachev,Alexander Volkanovski,False,Decision - Unanimous,5,5:00,,Marc Goddard,,Islam Makhachev,0,57 of 95,60%,95 of 135,4 of 9,44%,0,0,7:37,57 of 95,36 of 72,18 of 20,3 of 3,45 of 82,12 of 13,0 of 0,Alexander Volkanovski,1,70 of 143,48%,164 of 255,0 of 4,0%,0,0,2:55,70 of 143,37 of 96,21 of 33,12 of 14,58 of 125,6 of 10,6 of 8
UFC Interim Featherweight Title Bout,Yair Rodriguez,Josh Emmett,False,Submission,2,4:19,,Jason Herzog,,Yair Rodriguez,0,62 of 107,57%,98 of 143,0 of 0,---,1,0,0:00,62 of 107,36 of 76,18 of 22,8 of 9,47 of 87,7 of 9,8 of 11,Josh Emmett,0,22 of 52,42%,35 of 72,1 of 4,25%,0,0,3:01,22 of 52,17 of 44,4 of 7,1 of 1,13 of 40,1 of 2,8 of 10
Welterweight Bout,Jack Della Maddalena,Randy Brown,False,Submission,1,2:13,,Marc Goddard,,Jack Della Maddalena,1,14 of 31,45%,18 of 35,0 of 0,---,1,0,0:15,14 of 31,9 of 23,1 of 2,4 of 6,5 of 18,2 of 2,7 of 11,Randy Brown,0,11 of 39,28%,11 of 39,0 of 0,---,0,0,0:00,11 of 39,6 of 33,2 of 3,3 of 3,11 of 39,0 of 0,0 of 0
Heavyweight Bout,Justin Tafa,Parker Porter,False,KO/TKO,1,1:06,,Jason Herzog,,Justin Tafa,1,8 of 16,50%,8 of 16,0 of 0,---,0,0,0:00,8 of 16,6 of 13,2 of 3,0 of 0,5 of 12,3 of 4,0 of 0,Parker Porter,0,7 of 16,43%,7 of 16,0 of 0,---,0,0,0:00,7 of 16,5 of 13,0 of 1,2 of 2,7 of 15,0 of 1,0 of 0
Light Heavyweight Bout,,,True,Decision - Majority,3,5:00,,Marc Goddard,,Jimmy Crute,0,31 of 62,50%,62 of 103,6 of 12,50%,3,0,7:55,31 of 62,27 of 58,2 of 2,2 of 2,23 of 54,5 of 5,3 of 3,Alonzo Menifield,2,56 of 83,67%,99 of 127,0 of 0,---,0,0,3:55,56 of 83,53 of 80,1 of 1,2 of 2,42 of 67,4 of 4,10 of 12
Light Heavyweight Bout,,,True,Decision - Majority,3,5:00,,Marc Goddard,,Jimmy Crute,0,31 of 62,50%,62 of 103,6 of 12,50%,3,0,7:55,31 of 62,27 of 58,2 of 2,2 of 2,23 of 54,5 of 5,3 of 3,Alonzo Menifield,2,56 of 83,67%,99 of 127,0 of 0,---,0,0,3:55,56 of 83,53 of 80,1 of 1,2 of 2,42 of 67,4 of 4,10 of 12
Light Heavyweight Bout,Modestas Bukauskas,Tyson Pedro,False,Decision - Unanimous,3,5:00,,Steve Perceval,,Tyson Pedro,0,45 of 81,55%,54 of 90,2 of 3,66%,0,0,3:01,45 of 81,18 of 45,20 of 27,7 of 9,39 of 74,5 of 6,1 of 1,Modestas Bukauskas,0,44 of 109,40%,56 of 121,0 of 0,---,0,0,0:57,44 of 109,25 of 88,12 of 13,7 of 8,34 of 95,10 of 14,0 of 0
Featherweight Bout,Josh Culibao,Melsik Baghdasaryan,False,Submission,2,2:02,,Peter Hickmott,,Josh Culibao,0,16 of 45,35%,16 of 45,0 of 0,---,1,0,0:14,16 of 45,3 of 24,3 of 8,10 of 13,15 of 43,1 of 2,0 of 0,Melsik Baghdasaryan,0,26 of 44,59%,26 of 44,0 of 0,---,0,0,0:00,26 of 44,6 of 19,8 of 10,12 of 15,24 of 41,2 of 3,0 of 0
Flyweight Bout,Kleydson Rodrigues,Shannon Ross,False,KO/TKO,1,0:59,,Matt Wynne,,Shannon Ross,0,1 of 4,25%,1 of 4,0 of 0,---,0,0,0:00,1 of 4,0 of 1,0 of 0,1 of 3,1 of 4,0 of 0,0 of 0,Kleydson Rodrigues,1,14 of 22,63%,16 of 24,0 of 0,---,0,0,0:00,14 of 22,8 of 16,3 of 3,3 of 3,9 of 14,5 of 7,0 of 1
Lightweight Bout,Jamie Mullarkey,Francisco Prado,False,Decision - Unanimous,3,5:00,,Marc Goddard,,Jamie Mullarkey,0,59 of 104,56%,78 of 126,3 of 4,75%,0,0,4:47,59 of 104,28 of 70,13 of 14,18 of 20,49 of 92,0 of 0,10 of 12,Francisco Prado,0,28 of 75,37%,31 of 78,0 of 2,0%,1,1,0:10,28 of 75,18 of 58,4 of 10,6 of 7,28 of 75,0 of 0,0 of 0
Featherweight Bout,Jack Jenkins,Don Shainis,False,Decision - Unanimous,3,5:00,,Jason Herzog,,Jack Jenkins,0,82 of 123,66%,100 of 150,4 of 5,80%,0,0,6:00,82 of 123,45 of 81,23 of 26,14 of 16,53 of 90,21 of 24,8 of 9,Don Shainis,0,50 of 102,49%,128 of 187,1 of 3,33%,2,2,2:16,50 of 102,26 of 68,17 of 23,7 of 11,29 of 73,14 of 21,7 of 8
Women's Strawweight Bout,Loma Lookboonmee,Elise Reed,False,Submission,2,0:44,,Steve Perceval,,Loma Lookboonmee,0,17 of 27,62%,22 of 34,2 of 3,66%,1,0,0:36,17 of 27,5 of 8,6 of 9,6 of 10,12 of 20,4 of 5,1 of 2,Elise Reed,0,17 of 29,58%,41 of 60,0 of 0,---,0,1,1:59,17 of 29,12 of 23,1 of 2,4 of 4,7 of 18,5 of 6,5 of 5
Featherweight Bout,Blake Bilder,Shane Young,False,Decision - Unanimous,3,5:00,,Peter Hickmott,,Shane Young,0,80 of 196,40%,81 of 197,0 of 3,0%,0,0,0:03,80 of 196,42 of 151,21 of 28,17 of 17,79 of 194,1 of 2,0 of 0,Blake Bilder,0,111 of 190,58%,126 of 206,1 of 7,14%,0,0,1:43,111 of 190,62 of 134,11 of 17,38 of 39,107 of 182,3 of 5,1 of 3
Lightweight Bout,Elves Brener,Zubaira Tukhugov,False,Decision - Split,3,5:00,,Matt Wynne,,Zubaira Tukhugov,0,70 of 169,41%,73 of 172,0 of 4,0%,0,0,2:11,70 of 169,64 of 160,4 of 7,2 of 2,68 of 167,2 of 2,0 of 0,Elves Brener,0,69 of 157,43%,82 of 170,0 of 3,0%,0,0,0:00,69 of 157,30 of 101,23 of 35,16 of 21,66 of 153,3 of 4,0 of 0
Heavyweight Bout,Serghei Spivac,Derrick Lewis,False,Submission,1,3:05,,Marc Goddard,,Derrick Lewis,0,0 of 3,0%,0 of 3,0 of 0,---,0,0,0:00,0 of 3,0 of 2,0 of 1,0 of 0,0 of 3,0 of 0,0 of 0,Serghei Spivac,0,12 of 21,57%,36 of 54,6 of 8,75%,1,0,2:32,12 of 21,12 of 21,0 of 0,0 of 0,0 of 3,0 of 0,12 of 18
Light Heavyweight Bout,Devin Clark,Da Woon Jung,False,Decision - Unanimous,3,5:00,,Keith Peterson,,Da Woon Jung,0,18 of 52,34%,43 of 78,1 of 5,20%,0,0,5:48,18 of 52,11 of 42,6 of 9,1 of 1,7 of 36,11 of 16,0 of 0,Devin Clark,0,39 of 70,55%,96 of 136,3 of 11,27%,0,0,5:02,39 of 70,22 of 51,5 of 6,12 of 13,26 of 52,11 of 14,2 of 4
Heavyweight Bout,Marcin Tybura,Blagoy Ivanov,False,Decision - Unanimous,3,5:00,,Mark Smith,,Marcin Tybura,0,40 of 103,38%,61 of 133,1 of 1,100%,0,0,4:55,40 of 103,12 of 70,19 of 24,9 of 9,39 of 102,0 of 0,1 of 1,Blagoy Ivanov,0,34 of 113,30%,34 of 113,0 of 0,---,0,0,0:00,34 of 113,24 of 98,10 of 15,0 of 0,34 of 112,0 of 1,0 of 0
Featherweight Bout,,,True,Decision - Majority,3,5:00,,Chris Tognoni,,Dooho Choi,0,50 of 78,64%,79 of 114,0 of 0,---,0,1,3:58,50 of 78,11 of 37,23 of 24,16 of 17,27 of 54,2 of 2,21 of 22,Kyle Nelson,0,20 of 58,34%,39 of 80,5 of 10,50%,0,0,5:34,20 of 58,10 of 41,7 of 10,3 of 7,17 of 54,3 of 4,0 of 0
Featherweight Bout,,,True,Decision - Majority,3,5:00,,Chris Tognoni,,Dooho Choi,0,50 of 78,64%,79 of 114,0 of 0,---,0,1,3:58,50 of 78,11 of 37,23 of 24,16 of 17,27 of 54,2 of 2,21 of 22,Kyle Nelson,0,20 of 58,34%,39 of 80,5 of 10,50%,0,0,5:34,20 of 58,10 of 41,7 of 10,3 of 7,17 of 54,3 of 4,0 of 0
Welterweight Bout,Adam Fugitt,Yusaku Kinoshita,False,KO/TKO,1,4:36,,Keith Peterson,,Yusaku Kinoshita,0,10 of 24,41%,11 of 25,0 of 1,0%,0,0,0:01,10 of 24,6 of 20,1 of 1,3 of 3,10 of 24,0 of 0,0 of 0,Adam Fugitt,0,21 of 33,63%,33 of 54,4 of 7,57%,0,0,2:53,21 of 33,16 of 23,4 of 7,1 of 3,11 of 22,4 of 4,6 of 7
Lightweight Bout,Anshul Jubli,Jeka Saragih,False,KO/TKO,2,3:44,,Marc Goddard,,Jeka Saragih,0,14 of 25,56%,20 of 40,0 of 0,---,0,0,0:09,14 of 25,2 of 10,3 of 4,9 of 11,10 of 20,2 of 3,2 of 2,Anshul Jubli,0,38 of 51,74%,74 of 99,2 of 5,40%,1,0,7:07,38 of 51,36 of 47,1 of 3,1 of 1,6 of 14,0 of 0,32 of 37
Featherweight Bout,JeongYeong Lee,Yizha,False,Decision - Split,3,5:00,,Mark Smith,,JeongYeong Lee,0,25 of 57,43%,66 of 105,0 of 0,---,0,0,0:50,25 of 57,18 of 50,7 of 7,0 of 0,18 of 49,7 of 8,0 of 0,Yizha,0,24 of 58,41%,37 of 74,5 of 21,23%,0,0,8:19,24 of 58,17 of 48,6 of 9,1 of 1,13 of 46,7 of 7,4 of 5
Bantamweight Bout,Rinya Nakamura,Toshiomi Kazama,False,KO/TKO,1,0:33,,Keith Peterson,,Toshiomi Kazama,0,4 of 10,40%,4 of 10,0 of 0,---,0,0,0:00,4 of 10,4 of 10,0 of 0,0 of 0,4 of 10,0 of 0,0 of 0,Rinya Nakamura,2,11 of 25,44%,11 of 25,0 of 0,---,0,0,0:03,11 of 25,11 of 25,0 of 0,0 of 0,10 of 24,0 of 0,1 of 1
Flyweight Bout,HyunSung Park,SeungGuk Choi,False,Submission,3,3:11,,Marc Goddard,,SeungGuk Choi,1,20 of 69,28%,30 of 83,0 of 2,0%,0,0,2:38,20 of 69,12 of 54,3 of 5,5 of 10,20 of 67,0 of 2,0 of 0,HyunSung Park,0,38 of 91,41%,59 of 125,1 of 3,33%,3,0,1:47,38 of 91,20 of 61,1 of 3,17 of 27,37 of 88,1 of 3,0 of 0
Middleweight Bout,JunYong Park,Denis Tiuliulin,False,Submission,1,4:05,,Mark Smith,,JunYong Park,0,25 of 38,65%,38 of 52,1 of 3,33%,1,0,2:58,25 of 38,20 of 33,1 of 1,4 of 4,15 of 27,0 of 0,10 of 11,Denis Tiuliulin,0,8 of 22,36%,8 of 22,0 of 0,---,0,0,0:00,8 of 22,4 of 16,4 of 6,0 of 0,8 of 22,0 of 0,0 of 0
Flyweight Bout,Tatsuro Taira,Jesus Aguilar,False,Submission,1,4:20,,Chris Tognoni,,Tatsuro Taira,0,1 of 1,100%,5 of 5,1 of 1,100%,2,0,3:49,1 of 1,1 of 1,0 of 0,0 of 0,0 of 0,0 of 0,1 of 1,Jesus Aguilar,0,2 of 2,100%,2 of 2,0 of 0,---,1,0,0:23,2 of 2,0 of 0,1 of 1,1 of 1,2 of 2,0 of 0,0 of 0
UFC Light Heavyweight Title Bout,Jamahal Hill,Glover Teixeira,False,Decision - Unanimous,5,5:00,,Marc Goddard,,Glover Teixeira,0,75 of 160,46%,108 of 196,2 of 17,11%,0,0,3:26,75 of 160,52 of 136,19 of 20,4 of 4,65 of 145,5 of 6,5 of 9,Jamahal Hill,0,232 of 402,57%,248 of 419,0 of 0,---,0,1,3:26,232 of 402,180 of 343,42 of 49,10 of 10,188 of 347,18 of 21,26 of 34
UFC Flyweight Title Bout,Brandon Moreno,Deiveson Figueiredo,False,TKO - Doctor's Stoppage,3,5:00,,Herb Dean,,Deiveson Figueiredo,0,19 of 43,44%,24 of 48,1 of 2,50%,2,0,0:35,19 of 43,8 of 30,8 of 9,3 of 4,15 of 35,0 of 0,4 of 8,Brandon Moreno,0,48 of 74,64%,85 of 111,3 of 6,50%,0,0,6:52,48 of 74,37 of 61,7 of 9,4 of 4,34 of 52,3 of 6,11 of 16
Welterweight Bout,Gilbert Burns,Neil Magny,False,Submission,1,4:15,,Fernando Portella,,Gilbert Burns,0,5 of 6,83%,10 of 12,1 of 1,100%,1,0,2:35,5 of 6,4 of 5,1 of 1,0 of 0,3 of 4,0 of 0,2 of 2,Neil Magny,0,4 of 11,36%,4 of 11,0 of 0,---,0,0,0:00,4 of 11,2 of 8,1 of 2,1 of 1,4 of 11,0 of 0,0 of 0
Women's Flyweight Bout,Jessica Andrade,Lauren Murphy,False,Decision - Unanimous,3,5:00,,Osiris Maia,,Lauren Murphy,0,100 of 293,34%,103 of 296,0 of 15,0%,0,0,0:09,100 of 293,81 of 268,14 of 19,5 of 6,90 of 276,10 of 17,0 of 0,Jessica Andrade,0,231 of 369,62%,237 of 375,1 of 1,100%,0,0,1:11,231 of 369,161 of 292,23 of 27,47 of 50,208 of 338,22 of 30,1 of 1
Light Heavyweight Bout,Johnny Walker,Paul Craig,False,KO/TKO,1,2:16,,Herb Dean,,Paul Craig,0,3 of 8,37%,3 of 8,0 of 0,---,0,0,0:00,3 of 8,0 of 3,1 of 2,2 of 3,3 of 8,0 of 0,0 of 0,Johnny Walker,1,16 of 20,80%,17 of 21,0 of 0,---,0,0,0:04,16 of 20,12 of 16,1 of 1,3 of 3,6 of 9,5 of 5,5 of 6
Light Heavyweight Bout,Ihor Potieria,Mauricio Rua,False,KO/TKO,1,4:05,,Herb Dean,,Mauricio Rua,0,17 of 31,54%,21 of 35,0 of 0,---,0,0,0:01,17 of 31,4 of 17,3 of 4,10 of 10,17 of 31,0 of 0,0 of 0,Ihor Potieria,1,21 of 41,51%,27 of 47,0 of 2,0%,0,0,0:38,21 of 41,16 of 35,3 of 4,2 of 2,13 of 31,5 of 6,3 of 4
Middleweight Bout,Brunno Ferreira,Gregory Rodrigues,False,KO/TKO,1,4:13,,Fernando Portella,,Gregory Rodrigues,0,21 of 41,51%,21 of 41,0 of 0,---,0,0,0:10,21 of 41,16 of 35,5 of 6,0 of 0,19 of 39,2 of 2,0 of 0,Brunno Ferreira,1,22 of 45,48%,23 of 46,0 of 2,0%,0,0,0:01,22 of 45,15 of 37,2 of 3,5 of 5,20 of 43,1 of 1,1 of 1
Lightweight Bout,Thiago Moises,Melquizael Costa,False,Submission,2,4:05,,Osiris Maia,,Thiago Moises,0,22 of 33,66%,45 of 58,4 of 7,57%,1,0,5:31,22 of 33,14 of 25,7 of 7,1 of 1,11 of 21,1 of 2,10 of 10,Melquizael Costa,0,23 of 50,46%,43 of 71,0 of 0,---,0,0,0:02,23 of 50,2 of 19,10 of 18,11 of 13,21 of 45,2 of 5,0 of 0
Welterweight Bout,Gabriel Bonfim,Mounir Lazzez,False,Submission,1,0:49,,Herb Dean,,Gabriel Bonfim,0,9 of 22,40%,9 of 22,0 of 0,---,1,0,0:04,9 of 22,6 of 18,2 of 2,1 of 2,9 of 22,0 of 0,0 of 0,Mounir Lazzez,0,9 of 13,69%,9 of 13,0 of 1,0%,0,0,0:00,9 of 13,0 of 4,4 of 4,5 of 5,9 of 13,0 of 0,0 of 0
Heavyweight Bout,Jailton Almeida,Shamil Abdurakhimov,False,KO/TKO,2,2:56,,Fernando Portella,,Shamil Abdurakhimov,0,1 of 1,100%,3 of 3,0 of 0,---,0,0,0:00,1 of 1,1 of 1,0 of 0,0 of 0,1 of 1,0 of 0,0 of 0,Jailton Almeida,0,45 of 57,78%,89 of 110,3 of 5,60%,0,0,7:28,45 of 57,44 of 55,0 of 0,1 of 2,1 of 5,0 of 0,44 of 52
Bantamweight Bout,Cody Stamann,Luan Lacerda,False,Decision - Unanimous,3,5:00,,Marc Goddard,,Luan Lacerda,0,80 of 181,44%,85 of 187,1 of 4,25%,0,0,1:34,80 of 181,31 of 113,44 of 61,5 of 7,80 of 181,0 of 0,0 of 0,Cody Stamann,0,103 of 189,54%,108 of 195,0 of 2,0%,0,0,0:00,103 of 189,62 of 139,29 of 38,12 of 12,101 of 186,2 of 3,0 of 0
Lightweight Bout,Ismael Bonfim,Terrance McKinney,False,KO/TKO,2,2:17,,Osiris Maia,,Ismael Bonfim,1,34 of 49,69%,38 of 53,1 of 4,25%,0,0,0:47,34 of 49,16 of 30,16 of 17,2 of 2,24 of 39,10 of 10,0 of 0,Terrance McKinney,0,14 of 49,28%,20 of 55,0 of 2,0%,0,0,2:16,14 of 49,10 of 43,4 of 6,0 of 0,12 of 45,0 of 2,2 of 2
Welterweight Bout,Nicolas Dalby,Warlley Alves,False,Decision - Split,3,5:00,,Herb Dean,,Warlley Alves,0,66 of 144,45%,75 of 153,1 of 3,33%,0,0,2:09,66 of 144,45 of 117,7 of 12,14 of 15,62 of 138,4 of 6,0 of 0,Nicolas Dalby,0,119 of 248,47%,167 of 298,0 of 1,0%,0,0,4:02,119 of 248,75 of 195,35 of 41,9 of 12,86 of 212,32 of 35,1 of 1
Women's Featherweight Bout,Josiane Nunes,Zarah Fairn,False,Decision - Unanimous,3,5:00,,Marc Goddard,,Josiane Nunes,0,102 of 211,48%,107 of 216,0 of 0,---,0,0,2:02,102 of 211,58 of 150,38 of 52,6 of 9,82 of 180,20 of 31,0 of 0,Zarah Fairn,0,117 of 251,46%,122 of 256,0 of 0,---,0,0,0:08,117 of 251,89 of 220,17 of 20,11 of 11,107 of 238,10 of 13,0 of 0
Bantamweight Bout,Daniel Marcos,Saimon Oliveira,False,KO/TKO,2,2:18,,Fernando Portella,,Saimon Oliveira,0,23 of 70,32%,25 of 73,0 of 5,0%,0,0,2:15,23 of 70,7 of 47,3 of 7,13 of 16,20 of 63,3 of 7,0 of 0,Daniel Marcos,1,53 of 78,67%,59 of 84,0 of 1,0%,0,0,1:00,53 of 78,31 of 52,20 of 23,2 of 3,36 of 58,16 of 19,1 of 1
Light Heavyweight Bout,Sean Strickland,Nassourdine Imavov,False,Decision - Unanimous,5,5:00,,Mark Smith,,Sean Strickland,0,182 of 405,44%,194 of 420,1 of 1,100%,0,0,4:12,182 of 405,134 of 347,38 of 48,10 of 10,175 of 396,7 of 9,0 of 0,Nassourdine Imavov,0,123 of 269,45%,131 of 277,0 of 1,0%,0,0,0:12,123 of 269,67 of 207,41 of 46,15 of 16,104 of 248,19 of 21,0 of 0
Featherweight Bout,Dan Ige,Damon Jackson,False,KO/TKO,2,4:13,,Jason Herzog,,Dan Ige,1,34 of 74,45%,40 of 81,1 of 1,100%,0,0,0:18,34 of 74,17 of 54,13 of 15,4 of 5,28 of 65,6 of 9,0 of 0,Damon Jackson,0,36 of 100,36%,38 of 102,0 of 1,0%,0,0,0:01,36 of 100,22 of 81,10 of 15,4 of 4,32 of 92,4 of 8,0 of 0
Middleweight Bout,Roman Kopylov,Punahele Soriano,False,KO/TKO,2,3:19,,Kerry Hatley,,Punahele Soriano,0,39 of 107,36%,39 of 107,0 of 3,0%,0,0,0:06,39 of 107,35 of 101,4 of 6,0 of 0,33 of 98,6 of 9,0 of 0,Roman Kopylov,0,82 of 128,64%,82 of 128,1 of 1,100%,0,0,0:10,82 of 128,56 of 101,14 of 15,12 of 12,76 of 120,6 of 8,0 of 0
Women's Bantamweight Bout,Raquel Pennington,Ketlen Vieira,False,Decision - Split,3,5:00,,Chris Tognoni,,Ketlen Vieira,0,64 of 152,42%,138 of 230,0 of 0,---,0,0,4:45,64 of 152,41 of 122,5 of 10,18 of 20,56 of 143,8 of 9,0 of 0,Raquel Pennington,0,81 of 159,50%,104 of 184,0 of 2,0%,0,0,1:18,81 of 159,37 of 111,32 of 35,12 of 13,59 of 134,22 of 25,0 of 0
Bantamweight Bout,Umar Nurmagomedov,Raoni Barcelos,False,KO/TKO,1,4:40,,Jason Herzog,,Umar Nurmagomedov,1,36 of 51,70%,36 of 51,0 of 0,---,0,0,0:02,36 of 51,20 of 32,12 of 13,4 of 6,35 of 50,0 of 0,1 of 1,Raoni Barcelos,0,13 of 24,54%,14 of 25,0 of 1,0%,0,0,0:00,13 of 24,6 of 17,5 of 5,2 of 2,10 of 21,3 of 3,0 of 0
Bantamweight Bout,Javid Basharat,Mateus Mendonca,False,Decision - Unanimous,3,5:00,,Chris Tognoni,,Javid Basharat,0,95 of 130,73%,125 of 164,3 of 5,60%,0,0,5:19,95 of 130,62 of 93,25 of 28,8 of 9,60 of 90,10 of 14,25 of 26,Mateus Mendonca,0,29 of 88,32%,70 of 133,2 of 11,18%,0,0,2:19,29 of 88,21 of 72,3 of 6,5 of 10,25 of 83,2 of 2,2 of 3
Middleweight Bout,Abdul Razak Alhassan,Claudio Ribeiro,False,KO/TKO,2,0:28,,Mark Smith,,Claudio Ribeiro,0,19 of 31,61%,42 of 54,0 of 0,---,0,0,0:16,19 of 31,6 of 18,3 of 3,10 of 10,17 of 29,2 of 2,0 of 0,Abdul Razak Alhassan,1,17 of 28,60%,30 of 41,0 of 2,0%,0,0,3:08,17 of 28,13 of 24,4 of 4,0 of 0,9 of 20,8 of 8,0 of 0
Lightweight Bout,Mateusz Rebecki,Nick Fiore,False,Decision - Unanimous,3,5:00,,Kerry Hatley,,Mateusz Rebecki,0,89 of 171,52%,130 of 228,3 of 4,75%,0,0,8:27,89 of 171,53 of 125,27 of 37,9 of 9,63 of 138,4 of 10,22 of 23,Nick Fiore,0,34 of 93,36%,52 of 113,1 of 3,33%,0,0,0:34,34 of 93,25 of 76,7 of 13,2 of 4,28 of 83,5 of 9,1 of 1
Flyweight Bout,Allan Nascimento,Carlos Hernandez,False,Submission,1,3:16,,Jason Herzog,,Allan Nascimento,0,6 of 11,54%,9 of 14,2 of 4,50%,1,0,2:23,6 of 11,2 of 5,2 of 3,2 of 3,6 of 11,0 of 0,0 of 0,Carlos Hernandez,0,3 of 7,42%,3 of 7,0 of 0,---,0,0,0:00,3 of 7,2 of 5,1 of 2,0 of 0,3 of 7,0 of 0,0 of 0
Featherweight Bout,Dan Argueta,Nick Aguirre,False,Decision - Unanimous,3,5:00,,Mark Smith,,Dan Argueta,0,47 of 85,55%,93 of 144,4 of 6,66%,2,1,10:14,47 of 85,29 of 65,9 of 10,9 of 10,27 of 55,6 of 9,14 of 21,Nick Aguirre,0,14 of 44,31%,15 of 47,0 of 0,---,1,1,1:15,14 of 44,14 of 42,0 of 1,0 of 1,13 of 42,1 of 2,0 of 0
Flyweight Bout,Charles Johnson,Jimmy Flick,False,KO/TKO,1,4:33,,Kerry Hatley,,Charles Johnson,0,34 of 57,59%,44 of 77,0 of 0,---,0,1,1:39,34 of 57,20 of 39,10 of 14,4 of 4,22 of 38,0 of 0,12 of 19,Jimmy Flick,0,7 of 13,53%,7 of 13,1 of 3,33%,0,0,0:24,7 of 13,3 of 6,3 of 4,1 of 3,7 of 13,0 of 0,0 of 0
Middleweight Bout,Jared Cannonier,Sean Strickland,False,Decision - Split,5,5:00,,Herb Dean,,Jared Cannonier,0,141 of 310,45%,141 of 310,0 of 0,---,0,0,0:00,141 of 310,57 of 187,60 of 88,24 of 35,141 of 310,0 of 0,0 of 0,Sean Strickland,0,152 of 400,38%,157 of 410,1 of 1,100%,0,0,0:48,152 of 400,126 of 365,24 of 32,2 of 3,152 of 400,0 of 0,0 of 0
Lightweight Bout,Arman Tsarukyan,Damir Ismagulov,False,Decision - Unanimous,3,5:00,,Mark Smith,,Arman Tsarukyan,0,34 of 81,41%,50 of 105,7 of 21,33%,0,0,9:25,34 of 81,14 of 57,12 of 15,8 of 9,31 of 76,2 of 4,1 of 1,Damir Ismagulov,0,36 of 86,41%,51 of 106,0 of 0,---,0,0,0:06,36 of 86,18 of 60,15 of 21,3 of 5,26 of 74,10 of 11,0 of 1
